PMID,article_title
24439028,Search for age-related macular degeneration risk variants in Alzheimer disease genes and pathways.
24439484,Missense variant in TREML2 protects against Alzheimer's disease.
24479146,Cognitive dysfunction and greater visit-to-visit systolic blood pressure variability.
24495969,Follow-up of loci from the International Genomics of Alzheimer's Disease Project identifies TRIP4 as a novel susceptibility gene.
24508835,Building a pipeline to discover and validate novel therapeutic targets and lead compounds for Alzheimer's disease.
24510649,Analyzing copy number variation using SNP array data: protocols for calling CNV and association tests.
24770881,ABCC9 gene polymorphism is associated with hippocampal sclerosis of aging pathology.
24922517,Gene-wide analysis detects two new susceptibility genes for Alzheimer's disease.
25027320,SUCLG2 identified as both a determinator of CSF Aβ1-42 levels and an attenuator of cognitive decline in Alzheimer's disease.
25032678,The impact of the human genome project on complex disease.
25043464,PLXNA4 is associated with Alzheimer disease and modulates tau phosphorylation.
25150575,Genetic variants in a 'cAMP element binding protein' (CREB)-dependent histone acetylation pathway influence memory performance in cognitively healthy elderly individuals.
25172201,Two rare AKAP9 variants are associated with Alzheimer's disease in African Americans.
25188341,Genome-wide association meta-analysis of neuropathologic features of Alzheimer's disease and related dementias.
25199842,Effects of multiple genetic loci on age at onset in late-onset Alzheimer disease: a genome-wide association study.
25317765,Common genetic variants on 6q24 associated with exceptional episodic memory performance in the elderly.
25324900,Association of MAPT haplotypes with Alzheimer's disease risk and MAPT brain gene expression levels.
25340798,Genome-wide association study of CSF levels of 59 alzheimer's disease candidate proteins: significant associations with proteins involved in amyloid processing and inflammation.
25383392,A Graph-Based Integration of Multimodal Brain Imaging Data for the Detection of Early Mild Cognitive Impairment (E-MCI).
25402421,Calibrating longitudinal cognition in Alzheimer's disease across diverse test batteries and datasets.
25419706,A rare mutation in UNC5C predisposes to late-onset Alzheimer's disease and increases neuronal cell death.
25470345,"Reassessment of risk genotypes (GRN, TMEM106B, and ABCC9 variants) associated with hippocampal sclerosis of aging pathology."
25480377,HIPPIE: a high-throughput identification pipeline for promoter interacting enhancer elements.
25531812,Rarity of the Alzheimer disease-protective APP A673T variant in the United States.
25533204,Convergent genetic and expression data implicate immunity in Alzheimer's disease.
25549288,PASTA: Ultra-Large Multiple Sequence Alignment for Nucleotide and Amino-Acid Sequences.
25559091,Protective variant for hippocampal atrophy identified by whole exome sequencing.
25663231,PARK10 is a major locus for sporadic neuropathologically confirmed Parkinson disease.
25687773,Genetic overlap between Alzheimer's disease and Parkinson's disease at the MAPT locus.
25762156,Genetics of CD33 in Alzheimer's disease and acute myeloid leukemia.
25778476,A novel Alzheimer disease locus located near the gene encoding tau protein.
25862742,"Polygenic Overlap Between C-Reactive Protein, Plasma Lipids, and Alzheimer Disease."
26079416,Genetically predicted body mass index and Alzheimer's disease-related phenotypes in three large samples: Mendelian randomization analyses.
26079503,Associations between Potentially Modifiable Risk Factors and Alzheimer Disease: A Mendelian Randomization Study.
26092349,Global and local ancestry in African-Americans: Implications for Alzheimer's disease risk.
26189833,PLD3 in Alzheimer's Disease: a Modest Effect as Revealed by Updated Association and Expression Analyses.
26332608,"Genetic Analysis of Association Between Calcium Signaling and Hippocampal Activation, Memory Performance in the Young and Old, and Risk for Sporadic Alzheimer Disease."
26359171,Traumatic brain injury history is associated with earlier age of onset of frontotemporal dementia.
26365416,Genome-wide linkage analyses of non-Hispanic white families identify novel loci for familial late-onset Alzheimer's disease.
26366463,Association of Long Runs of Homozygosity With Alzheimer Disease Among African American Individuals.
26414676,An atlas of genetic correlations across human diseases and traits.
26433351,Linkage analyses in Caribbean Hispanic families identify novel loci associated with familial late-onset Alzheimer's disease.
26449541,Interaction between variants in CLU and MS4A4E modulates Alzheimer's disease risk.
26490334,Common polygenic variation enhances risk prediction for Alzheimer's disease.
26510133,Transcriptomic Changes Due to Cytoplasmic TDP-43 Expression Reveal Dysregulation of Histone Transcripts and Nuclear Chromatin.
26545630,A potential endophenotype for Alzheimer's disease: cerebrospinal fluid clusterin.
26553799,DASHR: database of small human noncoding RNAs.
26650880,Diabetic Phenotypes and Late-Life Dementia Risk: A Mechanism-specific Mendelian Randomization Study.
26681495,Genetic Markers of Human Evolution Are Enriched in Schizophrenia.
26738751,Risk factors and global cognitive status related to brain arteriolosclerosis in elderly individuals.
26827652,Discovery of gene-gene interactions across multiple independent data sets of late onset Alzheimer disease from the Alzheimer Disease Genetics Consortium.
26888993,Neuropathologic comorbidity and cognitive impairment in the Nun and Honolulu-Asia Aging Studies.
26890760,Self-Reported Traumatic Brain Injury and Mild Cognitive Impairment: Increased Risk and Earlier Age of Diagnosis.
26919393,Alzheimer's Disease Risk Polymorphisms Regulate Gene Expression in the ZCWPW1 and the CELF1 Loci.
26973105,The effect of increased genetic risk for Alzheimer's disease on hippocampal and amygdala volume.
27036079,Assessment of the genetic variance of late-onset Alzheimer's disease.
27066552,Late-onset Alzheimer disease risk variants mark brain regulatory loci.
27066578,Segregation of a rare TTC3 variant in an extended family with late-onset Alzheimer disease.
27079753,Crowdsourced estimation of cognitive decline and resilience in Alzheimer's disease.
27088644,Association Between Genetic Traits for Immune-Mediated Diseases and Alzheimer Disease.
27088965,"Association Between Anticholinergic Medication Use and Cognition, Brain Metabolism, and Brain Atrophy in Cognitively Normal Older Adults."
27103524,The executive prominent/memory prominent spectrum in Alzheimer's disease is highly heritable.
27115769,"Gene expression, methylation and neuropathology correlations at progressive supranuclear palsy risk loci."
27127760,Toward precision medicine in Alzheimer's disease.
27142060,Identification of the BRD1 interaction network and its impact on mental disorder risk.
27182965,Detection and interpretation of shared genetic influences on 42 human traits.
27188311,A comprehensive database of high-throughput sequencing-based RNA secondary structure probing data (Structure Surfer).
27231719,ABCA7 frameshift deletion associated with Alzheimer disease in African Americans.
27252175,A genomic approach to therapeutic target validation identifies a glucose-lowering GLP1R variant protective for coronary heart disease.
27357110,Genome-wide association study of prolactin levels in blood plasma and cerebrospinal fluid.
27357282,Variants in ACPP are associated with cerebrospinal fluid Prostatic Acid Phosphatase levels.
27357396,Variants in CCL16 are associated with blood plasma and cerebrospinal fluid CCL16 protein levels.
27455347,NEK1 variants confer susceptibility to amyotrophic lateral sclerosis.
27488597,Incident parkinsonism in older adults without Parkinson disease.
27618776,Genomics of Alzheimer's disease: Value of high-throughput genomic technologies to dissect its etiology.
27648456,Age-dependent effects of APOE ε4 in preclinical Alzheimer's disease.
27694991,Novel genetic loci underlying human intracranial volume identified through genome-wide association.
27764101,Rare Functional Variant in TM2D3 is Associated with Late-Onset Alzheimer's Disease.
27770636,"Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans."
27815632,Genomics and CSF analyses implicate thyroid hormone in hippocampal sclerosis of aging.
27822510,SORL1 mutations in early- and late-onset Alzheimer disease
27832767,Chitinase-3-like 1 protein (CHI3L1) locus influences cerebrospinal fluid levels of YKL-40.
27837920,"The Schizophrenia-Associated BRD1 Gene Regulates Behavior, Neurotransmission, and Expression of Schizophrenia Risk Enriched Gene Sets in Mice."
27849641,Genetic Comparison of Symptomatic and Asymptomatic Persons With Alzheimer Disease Neuropathology.
27855547,Traumatic brain injury history is associated with earlier age of onset of Alzheimer disease.
27856775,Genetically decreased vitamin D and risk of Alzheimer disease.
27899424,Genetic architecture of sporadic frontotemporal dementia and overlap with Alzheimer's and Parkinson's diseases.
27911311,Risk Factors and Pathological Substrates Associated with Agitation/Aggression in Alzheimer's Disease: A Preliminary Study using NACC Data.
27911318,The Correlation between Inflammatory Biomarkers and Polygenic Risk Score in Alzheimer's Disease.
27933404,"Genome-wide, high-content siRNA screening identifies the Alzheimer's genetic risk factor FERMT2 as a major modulator of APP metabolism."
27943641,"Genomic variants, genes, and pathways of Alzheimer's disease: An overview."
28097204,Genomics implicates adaptive and innate immunity in Alzheimer's and Parkinson's diseases.
28106546,A Common Variant of IL-6R is Associated with Elevated IL-6 Pathway Activity in Alzheimer's Disease Brains.
28122779,Introducing COCOS: codon consequence scanner for annotating reading frame changes induced by stop-lost and frame shift variants.
28183528,Transethnic genome-wide scan identifies novel Alzheimer's disease loci.
28242297,Systems biology approach to late-onset Alzheimer's disease genome-wide association study identifies novel candidate genes validated using brain expression data and Caenorhabditis elegans experiments.
28247064,Genome-wide association study identifies four novel loci associated with Alzheimer's endophenotypes and disease modifiers.
28322246,Genetic correlation between amyotrophic lateral sclerosis and schizophrenia.
28323831,Genetic assessment of age-associated Alzheimer disease risk: Development and validation of a polygenic hazard score.
28349463,In Silico Identification of RNA Modifications from High-Throughput Sequencing Data Using HAMR.
28350795,Fine-mapping of the human leukocyte antigen locus as a risk factor for Alzheimer disease: A case-control study.
28400126,"Targeted sequencing of ABCA7 identifies splicing, stop-gain and intronic risk variants for Alzheimer disease."
28556832,Genetic susceptibility to cardiovascular disease and risk of dementia.
28609829,"Body Mass Index and Risk of Alzheimer's Disease: A Mendelian Randomization Study of 399,536 Individuals."
28628103,A common haplotype lowers PU.1 expression in myeloid cells and delays onset of Alzheimer's disease.
28671113,Implication of the APP Gene in Intellectual Abilities.
28714976,"Rare coding variants in PLCG2, ABI3, and TREM2 implicate microglial-mediated innate immunity in Alzheimer's disease."
28738127,Early-Onset Alzheimer Disease and Candidate Risk Genes Involved in Endolysosomal Transport.
28738187,Presymptomatic atrophy in autosomal dominant Alzheimer's disease: A serial magnetic resonance imaging study.
28780673,Investigating the genetic relationship between Alzheimer's disease and cancer using GWAS summary statistics.
28846757,Apolipoprotein E Genotype and Sex Risk Factors for Alzheimer Disease: A Meta-analysis.
28869480,Genetically-Predicted Adult Height and Alzheimer's Disease.
28940650,Polygenic hazard scores in preclinical Alzheimer disease.
28984138,Val66Met Polymorphism in BDNF Has No Sexual and APOE ε4 Status-Based Dimorphic Effects on Susceptibility to Alzheimer's Disease: Evidence From an Updated Meta-Analysis of Case-Control Studies and High-Throughput Genotyping Cohorts.
28985224,"Caspase-8, association with Alzheimer's Disease and functional analysis of rare variants."
29045054,Variants regulating ZBTB4 are associated with age-at-onset of Alzheimer's disease.
29051501,Branched-chain amino acids and Alzheimer's disease: a Mendelian randomization analysis.
29070071,McEnhancer: predicting gene expression via semi-supervised assignment of enhancers to target genes.
29070667,Alzheimer disease brain atrophy subtypes are associated with cognition and rate of decline.
29074453,Exome-Wide Association Study of Pancreatic Cancer Risk.
29078129,Age and the association of dementia-related pathology with trajectories of cognitive decline.
29091718,Analysis of neurodegenerative Mendelian genes in clinically diagnosed Alzheimer Disease.
29102475,Genetic influence of plasma homocysteine on Alzheimer's disease.
29103623,Polygenic risk score in postmortem diagnosed sporadic early-onset Alzheimer's disease.
29110684,Multiscale network modeling of oligodendrocytes reveals molecular components of myelin dysregulation in Alzheimer's disease.
29120328,Neuropathological and transcriptomic characteristics of the aged brain.
29177109,Exome Sequencing of Extended Families with Alzheimer's Disease Identifies Novel Genes Implicated in Cell Immunity and Neuronal Function.
29177679,Polygenic hazard score: an enrichment marker for Alzheimer's associated amyloid and tau deposition.
29181857,Whole-exome sequencing of the BDR cohort: evidence to support the role of the PILRA gene in Alzheimer's disease.
29184913,The Alzheimer's Disease Sequencing Project: Study design and sample selection.
29274321,Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.
29282328,Circulating insulin-like growth factors and Alzheimer disease: A mendelian randomization study.
29358399,Tau induces blood vessel abnormalities and angiogenesis-related gene expression in P301L transgenic mice and human Alzheimer's disease.
29432188,Identification of genetic risk factors in the Chinese population implicates a role of immune system in Alzheimer's disease pathogenesis.
29455857,Comprehensive Analysis of Constraint on the Spatial Distribution of Missense Variants in Human Protein Structures.
29458411,Genome-wide pleiotropy analysis of neuropathological traits related to Alzheimer's disease.
29481666,Identification of seven novel loci associated with amino acid levels using single-variant and gene-based tests in 8545 Finnish men from the METSIM study.
29486463,Genetic Variation in Genes Underlying Diverse Dementias May Explain a Small Proportion of Cases in the Alzheimer's Disease Sequencing Project.
29505811,Genetically elevated gamma-glutamyltransferase and Alzheimer's disease.
29516269,Tau Phosphorylation is Impacted by Rare AKAP9 Mutations Associated with Alzheimer Disease in African Americans.
29534716,"Genetic variation in clusterin and risk of dementia and ischemic vascular disease in the general population: cohort studies and meta-analyses of 362,338 individuals."
29590295,Functional annotation of genomic variants in studies of late-onset Alzheimer's disease.
29630712,Selective Genetic Overlap Between Amyotrophic Lateral Sclerosis and Diseases of the Frontotemporal Dementia Spectrum.
29684019,One for all and all for One: Improving replication of genetic studies through network diffusion.
29688227,Whole genome sequencing of Caribbean Hispanic families with late-onset Alzheimer's disease.
29733404,SPAR: small RNA-seq portal for analysis of sequencing experiments.
29752348,"Genetic Study of White Matter Integrity in UK Biobank (N=8448) and the Overlap With Stroke, Depression, and Dementia."
29780867,Topographic staging of tau positron emission tomography images.
29801024,Sex-Specific Association of Apolipoprotein E With Cerebrospinal Fluid Levels of Tau.
29805045,Landscape of Conditional eQTL in Dorsolateral Prefrontal Cortex and Co-localization with Schizophrenia GWAS.
29857119,Quality control and integration of genotypes from two calling pipelines for whole genome sequence data in the Alzheimer's disease sequencing project.
29906209,GNAI2 polymorphic variance associates with salt sensitivity of blood pressure in the Genetic Epidemiology Network of Salt Sensitivity study.
29937276,"Multiscale Analysis of Independent Alzheimer's Cohorts Finds Disruption of Molecular, Genetic, and Clinical Networks by Human Herpesvirus."
29967939,Sex-specific genetic predictors of Alzheimer's disease biomarkers.
29992253,Integrative DNA copy number detection and genotyping from sequencing and array-based platforms.
30009200,"Whole-exome sequencing in 20,197 persons for rare variants in Alzheimer's disease."
30010129,The GWAS Risk Genes for Depression May Be Actively Involved in Alzheimer's Disease.
30038276,Cell-specific histone modification maps in the human frontal lobe link schizophrenia risk to the neuronal epigenome.
30108311,Whole exome sequencing study identifies novel rare and common Alzheimer's-Associated variants involved in immune response and transcriptional regulation.
30113658,INFERNO: inferring the molecular mechanisms of noncoding genetic variants.
30133451,Case-control studies of gene-environment interactions. When a case might not be the case.
30201328,Male-specific epistasis between WWC1 and TLN2 genes is associated with Alzheimer's disease.
30210277,Targeted Sequencing of Alzheimer Disease Genes in African Americans Implicates Novel Risk Variants.
30229991,Is APOE ε4 required for Alzheimer's disease to develop in TREM2 p.R47H variant carriers?
30275893,An efficient analytic approach in genome-wide identification of methylation quantitative trait loci response to fenofibrate treatment.
30302820,Bias in parameter estimates due to omitting gene-environment interaction terms in case-control studies.
30351394,VCPA: genomic variant calling pipeline and data management tool for Alzheimer's Disease Sequencing Project.
30413934,Dissecting the genetic relationship between cardiovascular risk factors and Alzheimer's disease.
30448613,Translating Alzheimer's disease-associated polymorphisms into functional candidates: a survey of IGAP genes and SNPs.
30462667,"Episodic memory performance in a multi-ethnic longitudinal study of 13,037 elderly."
30478411,Systematic Analysis and Biomarker Study for Alzheimer's Disease.
30503768,A rare missense variant of CASP7 is associated with familial late-onset Alzheimer's disease.
30514930,Genetic data and cognitively defined late-onset Alzheimer's disease subgroups.
30517106,Ancestral origin of ApoE ε4 Alzheimer disease risk in Puerto Rican and African American populations.
30558641,Genome-wide RNAseq study of the molecular mechanisms underlying microglia activation in response to pathological tau perturbation in the rTg4510 tau transgenic animal model.
30569016,Rare genetic variation implicated in non-Hispanic white families with Alzheimer disease.
30591712,"Meta-analysis of Alzheimer's disease on 9,751 samples from Norway and IGAP study identifies four risk loci."
30596810,Circulating antioxidants and Alzheimer disease prevention: a Mendelian randomization study.
30647434,Correction: Genetic data and cognitively defined late-onset Alzheimer's disease subgroups.
30668832,DASHR 2.0: integrated database of human small non-coding RNA genes and mature products.
30683923,Comparison of methods for multivariate gene-based association tests for complex diseases using common variants.
30762723,Epilepsy Among Elderly Medicare Beneficiaries: A Validated Approach to Identify Prevalent and Incident Epilepsy.
30780120,Medicare claims can identify post-stroke epilepsy.
30804563,A statistical framework for cross-tissue transcriptome-wide association analysis.
30820047,"Genetic meta-analysis of diagnosed Alzheimer's disease identifies new risk loci and implicates Aβ, tau, immunity and lipid processing."
30830563,"Blood-brain barrier transcytosis genes, risk of dementia and stroke: a prospective cohort study of 74,754 individuals."
30888715,A simple approximation to bias in the genetic effect estimates when multiple disease states share a clinical diagnosis.
30911161,Gene expression imputation across multiple brain regions provides insights into schizophrenia risk.
30924900,Association of Rare Coding Mutations With Alzheimer Disease and Other Dementias Among Adults of European Ancestry.
30930738,Genetic Overlap Between Alzheimer's Disease and Bipolar Disorder Implicates the MARK2 and VAC14 Genes.
30935898,Novel methods for integration and visualization of genomics and genetics data in Alzheimer's disease.
30948477,PTCD1 Is Required for Mitochondrial Oxidative-Phosphorylation: Possible Genetic Association with Alzheimer's Disease.
30953760,Heritability and genetic variance of dementia with Lewy bodies.
30979435,Identification of genetic heterogeneity of Alzheimer's disease across age.
31056667,"Polygenic risk scores for Alzheimer's disease, and academic achievement, cognitive and behavioural measures in children from the general population."
31104630,Systematic analysis of dark and camouflaged genes reveals disease-relevant genes hiding in plain sight.
31113950,Epigenetic dysregulation of enhancers in neurons is associated with Alzheimer's disease pathology and cognitive symptoms.
31127079,Alzheimer's disease polygenic risk score as a predictor of conversion from mild-cognitive impairment.
31144443,CpG-related SNPs in the MS4A region have a dose-dependent effect on risk of late-onset Alzheimer disease.
31180460,Analysis of Whole-Exome Sequencing Data for Alzheimer Disease Stratified by APOE Genotype.
31216114,Genotype Imputation in Genome-Wide Association Studies.
31230719,TIGAR: An Improved Bayesian Tool for Transcriptomic Data Imputation Enhances Gene Mapping of Complex Traits.
31283791,Gene-based analysis in HRC imputed genome wide association data identifies three novel genes for Alzheimer's disease.
31328178,Systemic inflammation and causal risk for Alzheimer's dementia: Possibilities and limitations of a Mendelian randomization approach.
31350409,A systems biology approach towards understanding and treating non-neovascular age-related macular degeneration.
31354783,Polygenic Risk Score for Alzheimer's Disease Is Associated With Ch4 Volume in Normal Subjects.
31393881,Whole blood microRNA expression associated with stroke: Results from the Framingham Heart Study.
31426376,APOE Promoter Polymorphism-219T/G is an Effect Modifier of the Influence of APOE ε4 on Alzheimer's Disease Risk in a Multiracial Sample
31473137,Genome-wide association analysis of dementia and its clinical endophenotypes reveal novel loci associated with Alzheimer's disease and three causality networks: The GR@ACE project.
31489368,Epigenetic signatures of methylated DNA cytosine in Alzheimer's disease.
31497858,Sex differences in the genetic predictors of Alzheimer's pathology.
31561366,Inferring the Molecular Mechanisms of Noncoding Alzheimer's Disease-Associated Genetic Variants.
31603204,Rs2293871 regulates HTRA1 expression and affects cerebral small vessel stroke and Alzheimer's disease.
31641104,Examining the association between genetic liability for schizophrenia and psychotic symptoms in Alzheimer's disease.
31664920,Phenome-wide association analysis of LDL-cholesterol lowering genetic variants in PCSK9.
31667895,Case-control versus case-only estimates of gene-environment interactions with common and misclassified clinical diagnosis.
31681402,A Simple Approximation to Bias in Gene-Environment Interaction Estimates When a Case Might Not Be the Case.
31723151,Genome Wide Meta-Analysis identifies common genetic signatures shared by heart function and Alzheimer's disease.
31734309,Interaction effect of alcohol consumption and Alzheimer disease polygenic risk score on the brain cortical thickness of cognitively normal subjects.
31736866,A Machine Learning Method for Identifying Critical Interactions Between Gene Pairs in Alzheimer's Disease Prediction.
31748784,"Alzheimer Disease Pathology-Associated Polymorphism in a Complex Variable Number of Tandem Repeat Region Within the MUC6 Gene, Near the AP2A2 Gene."
31786126,Association between alcohol consumption and Alzheimer's disease: A Mendelian randomization study.
31797624,Hadoop and PySpark for reproducibility and scalability of genomic sequencing studies.
31797644,Packaging Biocomputing Software to Maximize Distribution and Reuse.
31815694,Circulating Vitamin D Levels and Alzheimer's Disease: A Mendelian Randomization Study in the IGAP and UK Biobank.
31842725,Benchmarking machine learning models for late-onset alzheimer's disease prediction from genomic data.
31845298,Overlapping genetic architecture between Parkinson disease and melanoma.
31890855,Estrogen activates Alzheimer's disease genes.
31914222,Two-stage Bayesian GWAS of 9576 individuals identifies SNP regions that are targeted by miRNAs inversely expressed in Alzheimer's and cancer.
31983538,Human Herpesvirus 6 Detection in Alzheimer's Disease Cases and Controls across Multiple Cohorts.
31984241,Polygenic risk score for Alzheimer's disease and trajectories of cardiometabolic risk factors in children.
31998368,eQTLMAPT: Fast and Accurate eQTL Mediation Analysis With Efficient Permutation Testing Approaches.
32015339,"Exceptionally low likelihood of Alzheimer's dementia in APOE2 homozygotes from a 5,000-person neuropathological study."
32112171,rs4147929 variant minor allele increases ABCA7 gene expression and ABCA7 shows increased gene expression in Alzheimer's disease patients compared with controls.
32116251,Impact of Vitamin D Binding Protein Levels on Alzheimer's Disease: A Mendelian Randomization Study.
32143980,Failure to detect synergy between variants in transferrin and hemochromatosis and Alzheimer's disease in large cohort.
32152295,Shared genetic etiology underlying Alzheimer's disease and major depressive disorder.
32187654,Interplay between Socioeconomic Markers and Polygenic Predisposition on Timing of Dementia Diagnosis.
32299494,An analysis of genetically regulated gene expression across multiple tissues implicates novel gene candidates in Alzheimer's disease.
32307133,Degree of genetic liability for Alzheimer's disease associated with specific proteomic profiles in cerebrospinal fluid.
32330239,SparkINFERNO: a scalable high-throughput pipeline for inferring molecular mechanisms of non-coding genetic variants.
32332754,Accurate estimation of cell composition in bulk expression through robust integration of single-cell information.
32355332,Apolipoprotein E4 and meningeal lymphatics in Alzheimer disease: a conceptual framework.
32400971,MAPT haplotype-stratified GWAS reveals differential association for AD risk variants.
32492070,Transcriptomic stratification of late-onset Alzheimer's cases reveals novel genetic modifiers of disease pathology.
32538835,Impact of Serum Calcium Levels on Alzheimer's Disease: A Mendelian Randomization Study.
32555747,Identification of functionally connected multi-omic biomarkers for Alzheimer's disease using modularity-constrained Lasso.
32573913,Genome-wide association study of rate of cognitive decline in Alzheimer's disease patients identifies novel genes and pathways.
32591829,Sex-dependent autosomal effects on clinical progression of Alzheimer's disease.
32632206,Older molecular brain age in severe mental illness.
32637050,HiPR: High-throughput probabilistic RNA structure inference.
32637632,Synonymous variants associated with Alzheimer disease in multiplex families.
32651314,Whole-Exome Sequencing Analysis of Alzheimer's Disease in Non-APOE*4 Carriers.
32660529,Deciphering cellular transcriptional alterations in Alzheimer's disease brains.
32666099,Reply: CYLD variants in frontotemporal dementia associated with severe memory impairment in a Portuguese cohort.
32668255,Meta-Analysis of the Alzheimer's Disease Human Brain Transcriptome and Functional Dissection in Mouse Models.
32680943,Physical activity and risk of Alzheimer disease: A 2-sample mendelian randomization study.
32703621,Testing influences of APOE and BDNF genes and heart failure on cognitive function.
32749525,"ADNC-RS, a clinical-genetic risk score, predicts Alzheimer's pathology in autopsy-confirmed Parkinson's disease and Dementia with Lewy bodies."
32750315,Evolution of a Human-Specific Tandem Repeat Associated with ALS.
32750869,GuiltyTargets: Prioritization of Novel Therapeutic Targets With Network Representation Learning.
32797255,Distinct clinicopathologic clusters of persons with TDP-43 proteinopathy.
32803238,Integrative genomics approach identifies conserved transcriptomic networks in Alzheimer's disease.
